Gene stable ID	Gene Name	GenBank ID	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
FBgn0262943	lncRNA:CR43262		12798304	12798304	lncRNA
FBgn0250906	Pgk	Z14029	33461	33461	protein_coding
FBgn0029853	CG3781	AY070825	31560	31560	protein_coding
FBgn0037429	Osi19	BT015241	40776	40776	protein_coding
FBgn0025388	CG12179	BT021393	31393	31393	protein_coding
FBgn0010786	l(3)02640	AI062495	46140	46140	protein_coding
FBgn0260008	UQCR-11		5740185	5740185	protein_coding
FBgn0001197	His2Av	AA441058	43229	43229	protein_coding
FBgn0013278	Hsp70Bb	AF350481	48583	48583	protein_coding
FBgn0052396	CG32396	AY089468	117406	117406	protein_coding
FBgn0259794	sinah	AI944587	39885	39885	protein_coding
FBgn0030638	CG11655	CZ485490	32472	32472	protein_coding
FBgn0263705	Myo10A	AI259815	32028	32028	protein_coding
FBgn0040697	Teh3	DQ139959	50170	50170	protein_coding
FBgn0263094	CG43362		12798006	12798006	protein_coding
FBgn0259861	Su(Ste):CR42430		7354464	7354464	lncRNA
FBgn0032472	CG9928	BI569054	34704	34704	protein_coding
FBgn0034284	CG14491		37046	37046	protein_coding
FBgn0010431	mtrm	AY061524	38958	38958	protein_coding
FBgn0038977	CG5376	AQ254616	42648	42648	protein_coding
FBgn0050449	tRNA:Glu-CTC-5-1Psi		3771804	3771804	pseudogene
FBgn0262970	CR43281				pseudogene
FBgn0085249	CG34220		5740467	5740467	protein_coding
FBgn0036874	brv1		40116	40116	protein_coding
FBgn0033687	CG8407		36303	36303	protein_coding
FBgn0259853	Su(Ste):CR42422		7354457	7354457	lncRNA
FBgn0039376	CG14354	AY089313	43120	43120	protein_coding
FBgn0029656	CG10793	BF502620	31308	31308	protein_coding
FBgn0266650	lncRNA:CR45157		19835844	19835844	lncRNA
FBgn0085472	CG34443		5740580	5740580	protein_coding
FBgn0024558	Dph5	AI945839	42663	42663	protein_coding
FBgn0039875	sip3	CZ466479	43747	43747	protein_coding
FBgn0264743	CG44001		326173	326173	protein_coding
FBgn0033000	CG14464	AY119605	3355132	3355132	protein_coding
FBgn0039434	TwdlM	AY071379	43200	43200	protein_coding
FBgn0087035	AGO2	DQ228768	39683	39683	protein_coding
FBgn0259716	Nepl6	CK661922	33893	33893	protein_coding
FBgn0031738	CG9171	CZ466298	33807	33807	protein_coding
FBgn0264548	lncRNA:CR43927		14462816	14462816	lncRNA
FBgn0266305	lncRNA:CR44970		19835536	19835536	lncRNA
FBgn0045477	Gr64c		117479	117479	protein_coding
FBgn0035982	CG4461	AI134984	39074	39074	protein_coding
FBgn0264832	CG44040		14462475	14462475	protein_coding
FBgn0037556	CG9636	AW942959	40967	40967	protein_coding
FBgn0262005	CG42823		3885578	3885578	protein_coding
FBgn0267104	CG45544		19834823	19834823	protein_coding
FBgn0267895	CR46183				pseudogene
FBgn0010409	RpL18A	AF083520	36985	36985	protein_coding
FBgn0041707	7B2	AJ271974	40644	40644	protein_coding
FBgn0034035	CG8207	BI214984	36730	36730	protein_coding
FBgn0265702	asRNA:CR44509		19836154	19836154	lncRNA
FBgn0262847	CR43211				pseudogene
FBgn0034988	cN-IIIB	AW942894	37875	37875	protein_coding
FBgn0043533	Obp56f	AF457146	246668	246668	protein_coding
FBgn0283508	nw	AF005859	3772015	3772015	protein_coding
FBgn0036481	CG16959	AI134230	39648	39648	protein_coding
FBgn0263554	mir-4952		12798511	12798511	sncRNA
FBgn0017551	Rca1	AA438700	33959	33959	protein_coding
FBgn0267761	asRNA:CR46092		26067409	26067409	lncRNA
FBgn0287186	scro	AABU01002775	3355151	3355151	protein_coding
FBgn0031939	CG13796	BT001646	34051	34051	protein_coding
FBgn0032515	loqs	DQ398906	34751	34751	protein_coding
FBgn0267062	lncRNA:CR45506		19835118	19835118	lncRNA
FBgn0036532	CG13445		39719	39719	protein_coding
FBgn0031281	Saf6	AW943134	33255	33255	protein_coding
FBgn0086075	snoRNA:Me28S-G3253	AJ784384	5740356	5740356	sncRNA
FBgn0037225	TwdlG	AY075518	40535	40535	protein_coding
FBgn0004510	Ets97D	M88471	43236	43236	protein_coding
FBgn0265458	asRNA:CR44358		19835044	19835044	lncRNA
FBgn0082944	snoRNA:Me28S-A2634c	AY805217	5740639	5740639	sncRNA
FBgn0002856	Acp26Ab	AF053252	33816	33816	protein_coding
FBgn0000008	a	CZ467661	43852	43852	protein_coding
FBgn0034735	CG4610	AI404504	37571	37571	protein_coding
FBgn0052037	CG32037	AA538707	326183	326183	protein_coding
FBgn0262447	mir-14	AJ421776	12798384	12798384	sncRNA
FBgn0038076	Cyp313a4	CZ481866	41563	41563	protein_coding
FBgn0040718	CG15353	AY113615	50191	50191	protein_coding
FBgn0030398	Cpr11B	AI404313	32203	32203	protein_coding
FBgn0264821	asRNA:CR44029		14462359	14462359	lncRNA
FBgn0051140	CG31140	BT003237	42836	42836	protein_coding
FBgn0031677	CG14036		33735	33735	protein_coding
FBgn0036509	CG7739	AY075477	39684	39684	protein_coding
FBgn0266697	lncRNA:CR45187		19836199	19836199	lncRNA
FBgn0265993	lncRNA:CR44768		19835438	19835438	lncRNA
FBgn0050108	CG30108	CL528054	246460	246460	protein_coding
FBgn0033697	Cyp6t3		36318	36318	protein_coding
FBgn0035727	CG10063	AY089483	38764	38764	protein_coding
FBgn0035317	Oseg2		38282	38282	protein_coding
FBgn0039366	CG17198		43110	43110	protein_coding
FBgn0030868	CG12986		32759	32759	protein_coding
FBgn0264430	lncRNA:CR43848		14462466	14462466	lncRNA
FBgn0263200	Galt	AW941402	33935	33935	protein_coding
FBgn0031816	Rchy1	AF171768	33901	33901	protein_coding
FBgn0025571	SF1	CZ479210	43912	43912	protein_coding
FBgn0032847	Taf13	BI366810	35297	35297	protein_coding
FBgn0029863	CG3823	CL528260	31573	31573	protein_coding
FBgn0000319	Chc	AC092401	32537	32537	protein_coding
FBgn0035470	Ccz1	BI570112	38455	38455	protein_coding
FBgn0033225	TTLL12	CZ470546	35732	35732	protein_coding
FBgn0014455	Ahcy	AA695242	32471	32471	protein_coding
FBgn0030753	rngo	AJ570522	32616	32616	protein_coding
FBgn0023181	Orc4	BT004868	37970	37970	protein_coding
FBgn0025620	CG13360	AI296021	31025	31025	protein_coding
FBgn0063380	snoRNA:U31:54Eb		3772157	3772157	sncRNA
FBgn0025726	unc-13	AY094789	43841	43841	protein_coding
FBgn0265542	lncRNA:CR44392		19835950	19835950	lncRNA
FBgn0266019	rudhira	AI546111	32136	32136	protein_coding
FBgn0266518	Dpit47	DU708641	35565	35565	protein_coding
FBgn0013765	cnn	U35621	36491	36491	protein_coding
FBgn0039347	CG5071	BF492816	43090	43090	protein_coding
FBgn0035005	CG3483	AW940503	37900	37900	protein_coding
FBgn0032345	CG14921	AY089304	34547	34547	protein_coding
FBgn0058182	CR40182	AABU01002634	3354936	3354936	pseudogene
FBgn0024360	MTPAP	BI633288	31081	31081	protein_coding
FBgn0267918	lncRNA:CR46199		26067510	26067510	lncRNA
FBgn0034528	CG11180	AW941233	37330	37330	protein_coding
FBgn0266670	Sec5	AY069793	33563	33563	protein_coding
FBgn0086704	stops	AY047558	43683	43683	protein_coding
FBgn0033265	coil	AW941206	35785	35785	protein_coding
FBgn0267009	lncRNA:CR45453		19835354	19835354	lncRNA
FBgn0085465	CG34436		5740743	5740743	protein_coding
FBgn0005775	Con	AY119518	38590	38590	protein_coding
FBgn0034085	Ptp52F		36790	36790	protein_coding
FBgn0038186	CG14362		41695	41695	protein_coding
FBgn0036111	Aps	CZ470659	39226	39226	protein_coding
FBgn0266279	lncRNA:CR44964		19834745	19834745	lncRNA
FBgn0016054	phr6-4	D83701	35322	35322	protein_coding
FBgn0026876	CG11403	AA696988	31072	31072	protein_coding
FBgn0004598	Fur2	BT021414	32604	32604	protein_coding
FBgn0039453	CG6403	AY071107	43220	43220	protein_coding
FBgn0086074	snoRNA:Me18S-A1806	AJ784376	5740604	5740604	sncRNA
FBgn0266666	Sem1	BI563735	50428	50428	protein_coding
FBgn0035358	CG14949		38328	38328	protein_coding
FBgn0029962	CARPA		31687	31687	protein_coding
FBgn0265904	lncRNA:CR44693		19835952	19835952	lncRNA
FBgn0052459	CG32459	CZ481810	40502	40502	protein_coding
FBgn0030289	GCS1	AW944352	32073	32073	protein_coding
FBgn0265046	CG44163		14462623	14462623	protein_coding
FBgn0037391	CG2017	AQ072974	40733	40733	protein_coding
FBgn0259839	Su(Ste):CR42408		7354442	7354442	lncRNA
FBgn0052657	lncRNA:CR32657	AI945350	3772397	3772397	lncRNA
FBgn0038829	CG17271	AW942402	42463	42463	protein_coding
FBgn0013687	mt:ori	U11584			pseudogene
FBgn0266139	lncRNA:CR44845		19834829	19834829	lncRNA
FBgn0032493	Mabi		34727	34727	protein_coding
FBgn0263587	lncRNA:CR43612		12798224	12798224	lncRNA
FBgn0083049	snoRNA:Psi18S-1377c	AJ629209	5740236	5740236	sncRNA
FBgn0085200	CG34171		5740474	5740474	protein_coding
FBgn0038123	CG8508	AX154867	41620	41620	protein_coding
FBgn0000454	Dip-B	CZ475158	48450	48450	protein_coding
FBgn0046776	CR14033	AA942444	50420	50420	pseudogene
FBgn0039348	Npl4	BI606714	43091	43091	protein_coding
FBgn0053796	CG33796		3771914	3771914	protein_coding
FBgn0266407	lncRNA:CR45047		19834910	19834910	lncRNA
FBgn0266685	asRNA:CR45175		19834882	19834882	lncRNA
FBgn0033890	Ctf4	AY061581	36551	36551	protein_coding
FBgn0265926	lncRNA:CR44715		19835009	19835009	lncRNA
FBgn0262891	CG43246		12798253	12798253	protein_coding
FBgn0024754	Flo1	AC005475	36726	36726	protein_coding
FBgn0266965	lncRNA:CR45416		19835122	19835122	lncRNA
FBgn0037215	beta-Man	AI110125	40524	40524	protein_coding
FBgn0035334	CG8993	BI364305	38301	38301	protein_coding
FBgn0010265	RpS13	Z19052	34149	34149	protein_coding
FBgn0036437	CG5048	AX154889	39598	39598	protein_coding
FBgn0286204	ich	AQ026209	41069	41069	protein_coding
FBgn0051742	Prosbeta5R2		318924	318924	protein_coding
FBgn0028953	CG14478	BH840416	36964	36964	protein_coding
FBgn0283555	mir-9373		30522420	30522420	sncRNA
FBgn0037538	CG3223	AI402114	40947	40947	protein_coding
FBgn0034323	CG18537		37094	37094	protein_coding
FBgn0259917	CG42446		41985	41985	protein_coding
FBgn0263482	snoRNA:lola-c		12798399	12798399	sncRNA
FBgn0000357	Cp18	X06257	38998	38998	protein_coding
FBgn0037999	CG4860	AA697101	41480	41480	protein_coding
FBgn0027657	glob1	AI295852	41930	41930	protein_coding
FBgn0032202	REPTOR-BP	CZ467822	34371	34371	protein_coding
FBgn0032298	CG6724	CZ469316	34488	34488	protein_coding
FBgn0011824	CG4038	BI366567	37397	37397	protein_coding
FBgn0037862	mAcon2	AI944654	41326	41326	protein_coding
FBgn0038909	CG6569	BT001601	42573	42573	protein_coding
FBgn0264518	lncRNA:CR43917		14462828	14462828	lncRNA
FBgn0038127	CG8476	AY075290	41624	41624	protein_coding
FBgn0033060	CG7849		35537	35537	protein_coding
FBgn0265690	lncRNA:CR44497		19834739	19834739	lncRNA
FBgn0031109	Obp19a		33037	33037	protein_coding
FBgn0265645	lncRNA:CR44452		19834960	19834960	lncRNA
FBgn0052228	CG32228		326202	326202	protein_coding
FBgn0034877	levy	AY070648	37728	37728	protein_coding
FBgn0267868	lncRNA:CR46156		26067470	26067470	lncRNA
FBgn0034734	CG4554	BI572262	37570	37570	protein_coding
FBgn0031757	Ucp4C	AX573800	33832	33832	protein_coding
FBgn0020521	pio	AI259346	37929	37929	protein_coding
FBgn0015586	Acp76A	U90947	40078	40078	protein_coding
FBgn0039405	PIG-P	AY118873	43168	43168	protein_coding
FBgn0045479	Gr64a		117481	117481	protein_coding
FBgn0044508	snoRNA:M	AF375471	3772672	3772672	sncRNA
FBgn0053363	5SrRNA-Psi:CR33363		3772399	3772399	pseudogene
FBgn0040268	Top3alpha	BT015282	35236	35236	protein_coding
FBgn0250814	UQCR-C2	AF083315	39846	39846	protein_coding
FBgn0266834	lncRNA:CR45296		19835050	19835050	lncRNA
FBgn0053207	pxb	AB081475	41899	41899	protein_coding
FBgn0039467	CG14253	BI485075	43243	43243	protein_coding
FBgn0267661	asRNA:CR45999		26067320	26067320	lncRNA
FBgn0260760	CG42558		8674024	8674024	protein_coding
FBgn0040290	RecQ4	AA697112	53438	53438	protein_coding
FBgn0266773	lncRNA:CR45238		19836126	19836126	lncRNA
FBgn0030664	CG8119		32500	32500	protein_coding
FBgn0264884	lncRNA:CR44075		14462664	14462664	lncRNA
FBgn0033788	CG13323		36433	36433	protein_coding
FBgn0020912	Ptx1	AJ001519	43664	43664	protein_coding
FBgn0004606	zfh1	BI591036	43650	43650	protein_coding
FBgn0038771	CG4390	AI946250	42396	42396	protein_coding
FBgn0051269	CG31269		318653	318653	protein_coding
FBgn0263118	tx	BT003640	43190	43190	protein_coding
FBgn0052111	lncRNA:CR32111	BI366737	19835082	19835082	lncRNA
FBgn0030102	SmydA-9	AY071555	31859	31859	protein_coding
FBgn0034585	Rbpn-5	AA817509	37395	37395	protein_coding
FBgn0004607	zfh2	AY312835	43795	43795	protein_coding
FBgn0262372	mir-3	AJ421761	12798357	12798357	sncRNA
FBgn0037992	CG4702	AW943680	41472	41472	protein_coding
FBgn0036891	CG9372	BI212340	40137	40137	protein_coding
FBgn0032120	CG33298	AY060936	2768929	2768929	protein_coding
FBgn0020369	Rpt6	AW942825	33105	33105	protein_coding
FBgn0262478	CG43068		12798477	12798477	protein_coding
FBgn0016983	smid	AQ025221	38824	38824	protein_coding
FBgn0082927	snoRNA:Me28S-G3255b	AY805215	5740461	5740461	sncRNA
FBgn0050390	Sgf29	BI623388	37429	37429	protein_coding
FBgn0026148	CG12253	AY118549	47730	47730	protein_coding
FBgn0266891	lncRNA:CR45351		19835344	19835344	lncRNA
FBgn0027108	Inx2	CZ475837	31646	31646	protein_coding
FBgn0035942	ValRS-m	CZ484257	39023	39023	protein_coding
FBgn0026179	siz	AY058333	40327	40327	protein_coding
FBgn0039482	CG14258		43260	43260	protein_coding
FBgn0002629	E(spl)m4-BFM	AY906389	43157	43157	protein_coding
FBgn0031623	Taf12L	BI610671	33672	33672	protein_coding
FBgn0037671	ATP6AP2	AW943042	41104	41104	protein_coding
FBgn0052773	lncRNA:CR32773		19835374	19835374	lncRNA
FBgn0036487	Prp31	AI514713	39655	39655	protein_coding
FBgn0262699	fzr	AX777339	45922	45922	protein_coding
FBgn0035948	CG5644	AF171798	39029	39029	protein_coding
FBgn0034503	MED8	AY071108	37305	37305	protein_coding
FBgn0051345	CG31345	BI564228	41576	41576	protein_coding
FBgn0039324	CG10553	AI405039	43064	43064	protein_coding
FBgn0263093	CR43361				pseudogene
FBgn0027568	Cand1	AA264872	34403	34403	protein_coding
FBgn0033683	CG18343		36297	36297	protein_coding
FBgn0020251	sfl	CZ477858	38736	38736	protein_coding
FBgn0264549	lncRNA:CR43928		14462683	14462683	lncRNA
FBgn0260474	CG30002	BT001761	246384	246384	protein_coding
FBgn0033794	CG13326	AW940434	36439	36439	protein_coding
FBgn0267807	lncRNA:CR46132		26067448	26067448	lncRNA
FBgn0032154	mtDNA-helicase	BG638919	34307	34307	protein_coding
FBgn0033260	Cul4	AA821182	35780	35780	protein_coding
FBgn0035790	Cyp316a1		38840	38840	protein_coding
FBgn0032339	Wdr59	AI531674	34540	34540	protein_coding
FBgn0035512	Cpr64Ac		38510	38510	protein_coding
FBgn0031751	CG9016	AI945251	33822	33822	protein_coding
FBgn0267424	CR45777	JSAE01000257			pseudogene
FBgn0032715	CG17597	CZ478532	35140	35140	protein_coding
FBgn0023415	Acp32CD	AY010544	34531	34531	protein_coding
FBgn0032924	Nbr	AY118462	35385	35385	protein_coding
FBgn0260932	cuff	BH854580	36269	36269	protein_coding
FBgn0053744	snmRNA:430r		3772353	3772353	sncRNA
FBgn0265176	lncRNA:CR44241		19835609	19835609	lncRNA
FBgn0265733	lncRNA:CR44540		19834932	19834932	lncRNA
FBgn0085285	CG34256		5740297	5740297	protein_coding
FBgn0029703	CG12692	BF498172	31372	31372	protein_coding
FBgn0037661	Ada	CZ479234	41092	41092	protein_coding
FBgn0052280	CG32280	CZ481247	317952	317952	protein_coding
FBgn0051327	CG31327	BF501672	318684	318684	protein_coding
FBgn0266787	lncRNA:CR45252		19834764	19834764	lncRNA
FBgn0004192	snRNA:U2:34ABb	X04243	3771927	3771927	sncRNA
FBgn0033601	Cpr47Ed		36192	36192	protein_coding
FBgn0031626	CG15631	BF498864	33675	33675	protein_coding
FBgn0001142	Gs1	AC005334	33172	33172	protein_coding
FBgn0031042	CG14221		32961	32961	protein_coding
FBgn0052376	CG32376		318002	318002	protein_coding
FBgn0051712	CG31712	AY069357	34320	34320	protein_coding
FBgn0083050	snoRNA:Psi18S-1377b	AJ629208	5740459	5740459	sncRNA
FBgn0030700	CG15914		32542	32542	protein_coding
FBgn0039038	CG6688		42716	42716	protein_coding
FBgn0030722	CG12395	AI946766	32571	32571	protein_coding
FBgn0039568	CG4815		43360	43360	protein_coding
FBgn0050044	s-cup	AY095511	36371	36371	protein_coding
FBgn0039818	CG11318	AX254555	43678	43678	protein_coding
FBgn0035902	CG6683	AY061089	38970	38970	protein_coding
FBgn0267878	CR46166				pseudogene
FBgn0038673	CG14286		42280	42280	protein_coding
FBgn0267024	asRNA:CR45468		19834897	19834897	lncRNA
FBgn0030242	sofe	AI944524	32016	32016	protein_coding
FBgn0037548	CG7900		40957	40957	protein_coding
FBgn0039408	CG14551		43171	43171	protein_coding
FBgn0031737	obst-E	BI234294	33806	33806	protein_coding
FBgn0037506	Mics1	AI401911	40898	40898	protein_coding
FBgn0263746	CR43671	CZ482442			pseudogene
FBgn0283546	mir-9384		30522411	30522411	sncRNA
FBgn0028837	CSN6	CZ486096	42661	42661	protein_coding
FBgn0260794	ctrip	AW942003	40596	40596	protein_coding
FBgn0033913	CG8468	AY061626	36577	36577	protein_coding
FBgn0000449	dib	AF237560	45282	45282	protein_coding
FBgn0036760	CG5567	CZ488550	39986	39986	protein_coding
FBgn0036402	CG6650	AA540146	39555	39555	protein_coding
FBgn0039811	CG15550		43666	43666	protein_coding
FBgn0004363	porin	AI946440	34500	34500	protein_coding
FBgn0265880	lncRNA:CR44669		19834816	19834816	lncRNA
FBgn0262576	CG43116		12798270	12798270	protein_coding
FBgn0030420	CG12717		32229	32229	protein_coding
FBgn0033542	CAH13	AI257377	36126	36126	protein_coding
FBgn0285993	hpRNA:CR46343		12798474	12798474	lncRNA
FBgn0266464	Nsf2	U28836	41694	41694	protein_coding
FBgn0035199	tfc	AI258944	38141	38141	protein_coding
FBgn0052808	CG32808	AL031027	318221	318221	protein_coding
FBgn0034423	tbrd-2	AY089420	37207	37207	protein_coding
FBgn0033177	CG11141	CZ487450	35672	35672	protein_coding
FBgn0052660	lncRNA:CR32660	CL844446	3771836	3771836	lncRNA
FBgn0051948	CG31948	AY113317	326178	326178	protein_coding
FBgn0031493	Sf3b2	AI512970	33514	33514	protein_coding
FBgn0031423	CG3557	AI389274	33426	33426	protein_coding
FBgn0037622	CG8202	BZ748846	41043	41043	protein_coding
FBgn0262875	CG43230		12798223	12798223	protein_coding
FBgn0034560	CAH15	AY070799	37366	37366	protein_coding
FBgn0029820	CG16721	AI945722	31520	31520	protein_coding
FBgn0283442	vas	X12946	26067080	26067080	protein_coding
FBgn0032971	ttm3	BF490113	35437	35437	protein_coding
FBgn0032732	EMC5	BI168341	35159	35159	protein_coding
FBgn0067905	IM14		3885603	3885603	protein_coding
FBgn0267565	lncRNA:CR45905		26067233	26067233	lncRNA
FBgn0053257	CG33257		2768960	2768960	protein_coding
FBgn0033669	PI31	AI546699	36277	36277	protein_coding
FBgn0267873	CR46161				pseudogene
FBgn0033958	jef	AY094862	36634	36634	protein_coding
FBgn0037798	CG12817	BI367355	41250	41250	protein_coding
FBgn0033701	CG13171		36323	36323	protein_coding
FBgn0267008	lncRNA:CR45452		19835629	19835629	lncRNA
FBgn0065096	snmRNA:359	AJ544039	3772263	3772263	sncRNA
FBgn0050418	nord	BF493967	37882	37882	protein_coding
FBgn0034959	Xxylt	AY060766	37833	37833	protein_coding
FBgn0039151	CG13607	BG632203	42859	42859	protein_coding
FBgn0035792	CG7548		38843	38843	protein_coding
FBgn0086472	RpS25	U03289	41343	41343	protein_coding
FBgn0260657	CG42540	CZ484155	38562	38562	protein_coding
FBgn0262681	lncRNA:CR43151		19835373	19835373	lncRNA
FBgn0085336	CG34307		5740370	5740370	protein_coding
FBgn0003710	tipE	Z83485	38504	38504	protein_coding
FBgn0026316	Ubc10	CZ471799	37035	37035	protein_coding
FBgn0026384	Or59a	BD268278	37711	37711	protein_coding
FBgn0266786	lncRNA:CR45251		19834811	19834811	lncRNA
FBgn0266045	lncRNA:CR44810		19836248	19836248	lncRNA
FBgn0036000	CG3434	AA440413	39098	39098	protein_coding
FBgn0040733	BomS6		50206	50206	protein_coding
FBgn0082922	snoRNA:Or-aca4	AJ809557	5740189	5740189	sncRNA
FBgn0264896	asRNA:CR44087		14462502	14462502	lncRNA
FBgn0259185	Ir60b	EC087940	7354400	7354400	protein_coding
FBgn0038945	CG5386	AI295340	42613	42613	protein_coding
FBgn0032430	CG6388	AA979360	34656	34656	protein_coding
FBgn0082831	pps		41524	41524	protein_coding
FBgn0005660	Ets21C	AI260726	33229	33229	protein_coding
FBgn0040608	CG14246		3772140	3772140	protein_coding
FBgn0014000	Hf	AI063875	44038	44038	protein_coding
FBgn0043457	CG5180	AY089316	192508	192508	protein_coding
FBgn0259966	Sfp51E	EU755342	8674008	8674008	protein_coding
FBgn0005666	bt	AF047474	43814	43814	protein_coding
FBgn0037223	TwdlU				pseudogene
FBgn0001491	l(1)10Bb	AF045587	32069	32069	protein_coding
FBgn0262510	CR43080				pseudogene
FBgn0085456	CG34427		5740165	5740165	protein_coding
FBgn0040262	Ugt37C2	AC005121	53513	53513	protein_coding
FBgn0035572	CG13711		38576	38576	protein_coding
FBgn0039740	ZIPIC	AA440577	43566	43566	protein_coding
FBgn0263770	CR43687				pseudogene
FBgn0086032	snoRNA:Me28S-C437	AJ784860	5740382	5740382	sncRNA
FBgn0038617	Wdr37	AY094717	42218	42218	protein_coding
FBgn0050393	CG30393	CZ469670	246588	246588	protein_coding
FBgn0011638	La	BF487283	35305	35305	protein_coding
FBgn0041205	key	AW942478	37967	37967	protein_coding
FBgn0011746	ana	AI108915	35913	35913	protein_coding
FBgn0262795	CR43176	JSAE01000257	12798486	12798486	pseudogene
FBgn0265145	lncRNA:CR44214		19835561	19835561	lncRNA
FBgn0035401	Alg2	AA802401	38374	38374	protein_coding
FBgn0037845	CG14694		41307	41307	protein_coding
FBgn0266281	lncRNA:CR44966		19834749	19834749	lncRNA
FBgn0036199	Bmcp	AI402226	39322	39322	protein_coding
FBgn0262587	CG43124		12798282	12798282	protein_coding
FBgn0263709	lncRNA:CR43661		14462600	14462600	lncRNA
FBgn0053844	His2A:CG33844		3772278	3772278	protein_coding
FBgn0035538	DopEcR	AX254573	38539	38539	protein_coding
FBgn0270928	VAChT	AF030197	42795	42795	protein_coding
FBgn0025682	scf	AY070689	38145	38145	protein_coding
FBgn0038397	CG10185	BI641605	41953	41953	protein_coding
FBgn0267152	lncRNA:CR45592		19834784	19834784	lncRNA
FBgn0039518	CG13978	BF491325	43303	43303	protein_coding
FBgn0035589	CHMP2B	AW943327	38599	38599	protein_coding
FBgn0040252	Ugt303A1	AC006491	53503	53503	protein_coding
FBgn0038365	CG9593		41912	41912	protein_coding
FBgn0037749	CG9471	AY094929	41197	41197	protein_coding
FBgn0005694	Aef1	AZ877681	40370	40370	protein_coding
FBgn0285911	Vps16A	AY071611	41107	41107	protein_coding
FBgn0262475	bru2	AY069464	250811	250811	protein_coding
FBgn0266738	lncRNA:CR45211		19835031	19835031	lncRNA
FBgn0032138	CG4364	AA941969	34287	34287	protein_coding
FBgn0037290	CG1124	BI486842	40613	40613	protein_coding
FBgn0002626	RpL32	X00848	43573	43573	protein_coding
FBgn0266865	asRNA:CR45326		19835547	19835547	lncRNA
FBgn0035213	CG2199	AY051809	38159	38159	protein_coding
FBgn0052266	CG32266	BI353593	317945	317945	protein_coding
FBgn0260486	Ziz	BI605612	34030	34030	protein_coding
FBgn0264957	lncRNA:CR44126		14462543	14462543	lncRNA
FBgn0028664	VhaM9.7-c	CZ481248	38503	38503	protein_coding
FBgn0260753	Pdfr	AJ782967	31234	31234	protein_coding
FBgn0264389	opm	AW944570	32435	32435	protein_coding
FBgn0265699	lncRNA:CR44506		19834936	19834936	lncRNA
FBgn0028955	CG8788	AY084157	35932	35932	protein_coding
FBgn0000451	ect	BI161610	44135	44135	protein_coding
FBgn0035385	FMRFaR	DD177554	38357	38357	protein_coding
FBgn0067782	att-ORFB		2768673	2768673	protein_coding
FBgn0037411	Osi3	BI356229	40757	40757	protein_coding
FBgn0261632	lncRNA:CR42715		26067095	26067095	lncRNA
FBgn0040227	eIF3d1	AF220363	42789	42789	protein_coding
FBgn0020378	Sp1	DQ327755	31913	31913	protein_coding
FBgn0038775	CG17199	AY075192	42401	42401	protein_coding
FBgn0051205	CG31205		318626	318626	protein_coding
FBgn0035542	DOR	BF504479	38543	38543	protein_coding
FBgn0250849	CG32388	AI945827	192611	192611	protein_coding
FBgn0038447	CG14892		42016	42016	protein_coding
FBgn0038438	Der-2	CZ467137	42005	42005	protein_coding
FBgn0039068	CG13827	AY113446	42751	42751	protein_coding
FBgn0035032	ATPsynF	AW940716	37931	37931	protein_coding
FBgn0000257	car	AF133260	32947	32947	protein_coding
FBgn0263029	CG43324		12798331	12798331	protein_coding
FBgn0286927	CR46424				pseudogene
FBgn0053797	CR33797		3771744	3771744	pseudogene
FBgn0015230	Glut3	BF503777	42036	42036	protein_coding
FBgn0046225	CG17230	CZ487682	41376	41376	protein_coding
FBgn0024291	Sirt1	AQ073472	34708	34708	protein_coding
FBgn0003358	Jon99Ci	BI577282	43545	43545	protein_coding
FBgn0262588	CG43125		12798281	12798281	protein_coding
FBgn0028481	CG4341	CZ485325	33276	33276	protein_coding
FBgn0024289	Sodh-1	AY052067	40836	40836	protein_coding
FBgn0051921	CG31921	BI627426	319027	319027	protein_coding
FBgn0040351	CG11638	AY071434	31050	31050	protein_coding
FBgn0259878	Fs	CZ483377	2768836	2768836	protein_coding
FBgn0053246	Ste:CG33246		2768905	2768905	protein_coding
FBgn0265808	lncRNA:CR44597		19835327	19835327	lncRNA
FBgn0015625	CycB3	AJ012568	42971	42971	protein_coding
FBgn0034759	CG13511		37597	37597	protein_coding
FBgn0266637	asRNA:CR45144		19834727	19834727	lncRNA
FBgn0266781	lncRNA:CR45246		19835195	19835195	lncRNA
FBgn0036750	CG6034		39974	39974	protein_coding
FBgn0266175	pre-mod(mdg4)-P		19835348	19835348	protein_coding
FBgn0262239	mir-961		12798565	12798565	sncRNA
FBgn0005683	pie	CZ488091	44315	44315	protein_coding
FBgn0259862	Su(Ste):CR42431		7354384	7354384	lncRNA
FBgn0267195	lncRNA:CR45635		19835524	19835524	lncRNA
FBgn0031942	CG7203	BI604918	34055	34055	protein_coding
FBgn0004591	Eig71Ed	U24243	39704	39704	protein_coding
FBgn0053346	CG33346		2768690	2768690	protein_coding
FBgn0037916	CG5342	CZ487879	41389	41389	protein_coding
FBgn0034592	CG9406	AI946867	37405	37405	protein_coding
FBgn0029717	CG12684		31390	31390	protein_coding
FBgn0036970	Spn77Bc	AI390029	40236	40236	protein_coding
FBgn0052205	hpRNA:CR32205	BI579672	3772102	3772102	lncRNA
FBgn0266863	lncRNA:CR45324		19835592	19835592	lncRNA
FBgn0086676	spin	AF212367	45380	45380	protein_coding
